# ----------------------------------------
# דפים ומסכים: נתיב הדף וסיווג המסך
# חשבון: השם לא משנה
# נכס: www.nevermind.co.il
# ----------------------------------------
# 
# כל המשתמשים
# תאריך התחלה: 20251229
# תאריך סיום: 20260328
נתיב הדף וסיווג המסך,צפיות,משתמשים פעילים,צפיות לכל משתמש פעיל,משך ההתעניינות הממוצע לכל משתמש פעיל,ספירת אירועים,אירועים מרכזיים,"סה""כ הכנסות"
/למה-אני-מרגיש/,1,1,1,0,3,0,0
/מדריך-להתבודדות-עמוקה-60-דקות-שישנו-את-ה/,1,1,1,31,2,0,0
/פוסטים-אחרונים-ותכני-האתר/,1,1,1,13,2,0,0
/רגעי-תובנה-60-שניות-לתובנה-חדשה-🌟/,1,1,1,0,3,0,0
/שיטות-טיפול/,1,1,1,0,1,0,0
/תנאי-שימוש-והחזרים/,1,1,1,6,2,0,0
/תרגיל-חשיפה-מה-הארנק-שלכם-מגלה-על-הפחדי/,1,1,1,0,3,0,0
/תרמו-לאתר-נתינה-שמתחילה-במקום-עמוק-י/,1,1,1,0,3,0,0
/courses/התמכרויות-וגמילה-מהתמכרות-להבין-את/lessons/איך-להפסיק-להתעסק-בטלפון-כל-הזמן-טיפי/,0,1,0,0,3,0,0
/courses/חרדה-מבפנים-ללמוד-לפחד-נכון/lessons/הפחד-מהמוות-האם-הוא-רציונלי-או-רגשי-א/,0,1,0,19,4,0,0
/courses/להבין-את-המציאות-מסע-לחוויות-מעצימות-ד/lessons/יש-או-אין-איך-להפסיק-להבדיל-בין-קיים/,0,1,0,30,1,0,0
/courses/פודקאסט-מרפסת/lessons/אהבה-אסורה-פחד-מהעדר-ו‑קונספירציות-ק/,0,1,0,0,3,0,0
/courses/פודקאסט-מרפסת/lessons/מה-זה-אגו/,0,3,0,0,9,0,0
/courses/קורסים-גישת-nevermind/lessons/איך-להתחדש-בלי-ספר-משמעות-קיום-חקירה-ע/,0,2,0,37,3,0,0
/courses/קורסים-גישת-nevermind/lessons/איך-לחדד-את-המחשבה-השכל-והמוח-לאמן-את-ה/,0,2,0,42,2,0,0
/courses/קורסים-גישת-nevermind/lessons/אליעד-כהן-eip/,0,20,0,0.9,62,0,0
/courses/קורסים-גישת-nevermind/lessons/לחיות-בלי-הגדרות-הסוד-מאחורי-השם-לא-מש/,0,5,0,24.4,9,0,0
/courses/קורסים-גישת-nevermind/lessons/למות-תודעתית-או-לחיות-תודעתית-לשב/,0,2,0,339,2,0,0
/courses/קורסים-גישת-nevermind/lessons/מעבר-לכל-מדיטציה-גישת-nevermind-שבוחרת-לא-ל/,0,1,0,43,2,0,0
/courses/קורסים-גישת-nevermind/lessons/תסכול-מה-באמת-יוצר-אותו-למה-אנחנו-מתוס/,0,1,0,2,1,0,0
/courses/רמה-בינונית-כשההבדלים-נעלמים-nevermind/lessons/אינסוף-אפשרויות-למה-אי‑ידיעה-היא-הכו/,0,1,0,14,2,0,0
/courses/רמה-בינונית-כשההבדלים-נעלמים-nevermind/lessons/סיבתיות-אקראיות-ובחירה-חופשית-איך-ל/,0,0,0,0,2,0,0
/courses/רמה-בסיסית-טוב-ורע-נפרדים-באמת/lessons/האם-עזיבת-הארץ-היא-בריחה-או-פתרון-מה-הק/,0,2,0,12.5,2,0,0
/courses/רמה-בסיסית-טוב-ורע-נפרדים-באמת/lessons/להיות-לוזר-כדי-להצליח-האם-להיות-מושלם/,0,1,0,0,3,0,0
/courses/רמה-בסיסית-טוב-ורע-נפרדים-באמת/lessons/למה-לרצות-טוב-זה-כבר-רע-משחק-החיים-בין-ר/,0,1,0,7,1,0,0
/courses/רמה-בסיסית-טוב-ורע-נפרדים-באמת/lessons/מה-ההגדרה-הפשוטה-ביותר-לאגו-האם-ניתן-לח/,0,4,0,3.5,13,0,0
/courses/רמה-בסיסית-טוב-ורע-נפרדים-באמת/lessons/מה-מבדיל-אדם-מרובוט-ואיך-זה-קשור-לדעה-ע/,0,1,0,121,1,0,0
/courses/רמה-בסיסית-טוב-ורע-נפרדים-באמת/lessons/מי-שולט-בטוב-וברע-בחיים-שלך-איך-להשתחר/,0,1,0,508,1,0,0
/courses/רמה-בסיסית-טוב-ורע-נפרדים-באמת/lessons/מרגישה-משהו-חזק-מה-קורה-כשלא-קוראים-לזה/,0,1,0,33,1,0,0
/courses/רמה-בסיסית-טוב-ורע-נפרדים-באמת/lessons/משחקים-בחיים-איך-להפוך-את-המציאות-למשח/,0,1,0,0,3,0,0
/courses/רמה-בסיסית-טוב-ורע-נפרדים-באמת/lessons/נמאס-מלהיות-מנומס-כך-תצא-ממצב-npc-ותעצב-א/,0,1,0,0,3,0,0
/courses/רמה-בסיסית-טוב-ורע-נפרדים-באמת/lessons/פיצול-אישיות-הכול-זה-אתה-כך-תפסיק-לפחד/,0,1,0,18,2,0,0
/courses/רמה-בסיסית-טוב-ורע-נפרדים-באמת/lessons/פיצול-אישיות-חלק1-מרגיש-שאתה-משתנה-כל-ר/,0,1,0,48,1,0,0
/courses/רמה-בסיסית-טוב-ורע-נפרדים-באמת/lessons/פיצול-אישיות-כך-תאחד-את-כל-ה-אני-ותשלוט/,0,1,0,6,1,0,0
/courses/רמה-מתקדמת-אל-מעבר-לשכל-כשהבלתי-אפשרי/lessons/איך-אני-יודע-שאני-קיים-מהי-משמעות-הקיום/,0,1,0,3,1,0,0
/courses/רמה-מתקדמת-אל-מעבר-לשכל-כשהבלתי-אפשרי/lessons/איך-למצוא-אמת-בעולם-שקרי-ולמה-סיבתיו/,0,1,0,0,2,0,0
/courses/רמה-מתקדמת-אל-מעבר-לשכל-כשהבלתי-אפשרי/lessons/מה-אם-אתה-קיים-או-לא-איך-הפחד-שלא-תהיה/,0,1,0,3,1,0,0
